Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Units,[Location],[Reporting Type],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""4""","""Afghanistan""","""PERCENT""","""ALLAREA""","""G""",27.7719,27.79726,29.90076,32.00508,34.12623,36.26526,38.40636,40.84418,43.31506,45.81909,48.35636,50.92731,53.5317,56.16965,58.84123,61.54693,64.28648,67.06462
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""4""","""Afghanistan""","""PERCENT""","""RURAL""","""G""",21.61913,21.61913,23.59988,25.58063,27.56138,29.54213,31.52288,33.73274,35.96969,38.23373,40.52486,42.84308,45.18839,47.56079,49.96028,52.38686,54.84053,57.32129
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""4""","""Afghanistan""","""PERCENT""","""URBAN""","""G""",49.48745,49.48745,51.90447,54.32149,56.73851,59.15553,61.57254,64.50088,67.46785,70.47344,73.51766,76.6005,79.72197,82.88207,86.0808,89.31815,92.59413,95.90874
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""8""","""Albania""","""PERCENT""","""ALLAREA""","""G""",87.86662,87.88955,87.91309,87.92893,87.93703,87.93683,87.92856,87.91208,87.88725,87.85342,87.81129,87.76034,87.86043,89.46109,90.9812,91.00102,91.02037,91.03923
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""8""","""Albania""","""PERCENT""","""RURAL""","""G""",81.78472,81.83538,81.88605,81.93673,81.98741,82.03811,82.08881,82.13952,82.19024,82.24096,82.2917,82.34244,82.59078,86.2311,89.87517,89.87517,89.87517,89.87517
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""8""","""Albania""","""PERCENT""","""URBAN""","""G""",96.35528,96.10231,95.741,95.38031,95.02025,94.66083,94.30203,93.94386,93.58632,93.22941,92.87312,92.51747,92.29012,92.06277,91.83542,91.83542,91.83542,91.83542
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""12""","""Algeria""","""PERCENT""","""ALLAREA""","""G""",89.83726,90.1146,90.38717,90.6548,90.91755,91.17526,91.42819,91.67622,91.91957,92.15714,92.38947,92.61646,92.83835,93.05519,93.26727,93.4746,93.51585,93.55589
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""12""","""Algeria""","""PERCENT""","""RURAL""","""G""",83.32201,83.67994,84.03787,84.3958,84.75373,85.11166,85.46959,85.82752,86.18545,86.54338,86.90131,87.25924,87.61717,87.9751,88.33303,88.69096,88.69096,88.69096
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""12""","""Algeria""","""PERCENT""","""URBAN""","""G""",94.19544,94.2786,94.36177,94.44494,94.5281,94.61127,94.69443,94.7776,94.86077,94.94393,95.0271,95.11027,95.19343,95.2766,95.35977,95.44293,95.44293,95.44293
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""16""","""American Samoa""","""PERCENT""","""ALLAREA""","""G""",98.45909,98.53642,98.61376,98.69109,98.76843,98.84576,98.92309,99.00043,99.07776,99.1551,99.23243,99.30977,99.3871,99.46443,99.54177,99.6191,99.69644,99.77377
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""20""","""Andorra""","""PERCENT""","""ALLAREA""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""20""","""Andorra""","""PERCENT""","""RURAL""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""20""","""Andorra""","""PERCENT""","""URBAN""","""G""",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""24""","""Angola""","""PERCENT""","""ALLAREA""","""G""",41.14431,42.25467,43.3768,44.36387,45.35134,46.33602,47.15023,47.96147,48.7704,49.57516,50.37684,51.17484,51.96854,52.75735,53.54151,54.31693,55.08428,55.8429
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""24""","""Angola""","""PERCENT""","""RURAL""","""G""",21.15264,21.52822,21.90311,22.27731,22.65083,23.02367,23.39582,23.76729,24.13807,24.50817,24.87758,25.24631,25.61435,25.98171,26.34838,26.71437,27.07967,27.44429
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""24""","""Angola""","""PERCENT""","""URBAN""","""G""",61.06653,61.95116,62.83579,63.44901,64.05471,64.65286,65.24348,65.82657,66.40212,66.97013,67.53061,68.08355,68.62896,69.16683,69.69717,70.21997,70.73523,71.24296
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""660""","""Anguilla""","""PERCENT""","""ALLAREA""","""G""",96.16923,96.27023,96.37124,96.47224,96.57324,96.67425,96.77525,96.87625,96.97726,97.07826,97.17926,97.28027,97.38127,97.48227,97.48227,97.48227,97.48227,97.48227
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""660""","""Anguilla""","""PERCENT""","""URBAN""","""G""",96.16923,96.27023,96.37124,96.47224,96.57324,96.67425,96.77525,96.87625,96.97726,97.07826,97.17926,97.28027,97.38127,97.48227,97.48227,97.48227,97.48227,97.48227
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""28""","""Antigua and Barbuda""","""PERCENT""","""ALLAREA""","""G""",98.25377,98.13726,98.02075,97.90425,97.78774,97.67123,97.55473,97.43822,97.32172,97.20521,97.0887,96.9722,96.85569,96.73919,96.73919,96.73919,96.73919,96.73919
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""32""","""Argentina""","""PERCENT""","""ALLAREA""","""G""",96.21302,96.46213,96.70513,96.94247,97.17485,97.40218,97.62473,97.84245,98.05557,98.26406,98.46805,98.66657,98.86074,98.93041,99.00025,99.07013,99.07837,
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""32""","""Argentina""","""PERCENT""","""RURAL""","""G""",76.40468,77.78626,79.16784,80.54943,81.93101,83.31259,84.69417,86.07575,87.45733,88.83892,90.2205,91.60208,92.98366,92.98366,92.98366,92.98366,92.98366,
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""32""","""Argentina""","""PERCENT""","""URBAN""","""G""",98.62578,98.69309,98.76039,98.82769,98.89499,98.9623,99.0296,99.0969,99.16421,99.23151,99.29881,99.36611,99.43342,99.50072,99.56802,99.63532,99.63532,99.63532
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""51""","""Armenia""","""PERCENT""","""ALLAREA""","""G""",95.13351,95.4193,95.72161,96.03108,96.343,96.65729,96.97412,97.29336,97.61513,97.93934,98.26606,98.59529,98.92704,99.26163,99.59326,99.73441,99.89854,99.91338
"""1""","""1.4""","""1.4.1""","""SP_ACS_BSRVH2O""","""Proportion of population using basic drinking water services, by location (%)""","""51""","""Armenia""","""PERCENT""","""RURAL""","""G""",88.56082,89.30489,90.05199,90.80211,91.55526,92.31144,93.07064,93.83287,94.59813,95.36641,96.13772,96.91206,97.68942,98.4698,99.25322,99.5957,100,100
